job_title,department_name,length_of_service,employee_info
Bakery Manager,Investment,22,"Bakery Manager,Investment,22"
Customer Service Manager,Produce,13,"Customer Service Manager,Produce,13"
"Exec Assistant, Finance",HR Technology,21,"Exec Assistant, Finance,HR Technology,21"
Accounts Payable Clerk,Customer Service,22,"Accounts Payable Clerk,Customer Service,22"
Benefits Admin,Accounts Receiveable,22,"Benefits Admin,Accounts Receiveable,22"
"Exec Assistant, Human Resources",Bakery,20,"Exec Assistant, Human Resources,Bakery,20"
"Director, Accounts Payable",HR Technology,24,"Director, Accounts Payable,HR Technology,24"
Produce Clerk,Customer Service,12,"Produce Clerk,Customer Service,12"
VP Finance,Executive,25,"VP Finance,Executive,25"
"Exec Assistant, Finance",Meats,25,"Exec Assistant, Finance,Meats,25"
Compensation Analyst,Information Technology,21,"Compensation Analyst,Information Technology,21"
"Director, HR Technology",Processed Foods,20,"Director, HR Technology,Processed Foods,20"
Meats Manager,Store Management,22,"Meats Manager,Store Management,22"
VP Stores,Executive,23,"VP Stores,Executive,23"
Legal Counsel,Executive,26,"Legal Counsel,Executive,26"
Labor Relations Analyst,Processed Foods,10,"Labor Relations Analyst,Processed Foods,10"
"Director, Accounts Payable",Produce,26,"Director, Accounts Payable,Produce,26"
Meats Manager,Compensation,24,"Meats Manager,Compensation,24"
Bakery Manager,Recruitment,25,"Bakery Manager,Recruitment,25"
VP Finance,Meats,26,"VP Finance,Meats,26"
Corporate Lawyer,Accounts Payable,13,"Corporate Lawyer,Accounts Payable,13"
"Director, Training",HR Technology,20,"Director, Training,HR Technology,20"
Store Manager,Produce,25,"Store Manager,Produce,25"
"Exec Assistant, Legal Counsel",Meats,24,"Exec Assistant, Legal Counsel,Meats,24"
Bakery Manager,Produce,17,"Bakery Manager,Produce,17"
Recruiter,Recruitment,24,"Recruiter,Recruitment,24"
Accounts Receiveable Clerk,Accounting,24,"Accounts Receiveable Clerk,Accounting,24"
"Director, Accounts Receivable",Executive,20,"Director, Accounts Receivable,Executive,20"
"Director, Accounts Receivable",Produce,23,"Director, Accounts Receivable,Produce,23"
Cashier,Processed Foods,7,"Cashier,Processed Foods,7"
Accounting Clerk,Dairy,26,"Accounting Clerk,Dairy,26"
Corporate Lawyer,Produce,21,"Corporate Lawyer,Produce,21"
VP Stores,HR Technology,26,"VP Stores,HR Technology,26"
Baker,Dairy,23,"Baker,Dairy,23"
Produce Clerk,Produce,14,"Produce Clerk,Produce,14"
Bakery Manager,Dairy,19,"Bakery Manager,Dairy,19"
"Exec Assistant, VP Stores",Meats,25,"Exec Assistant, VP Stores,Meats,25"
Baker,Accounting,25,"Baker,Accounting,25"
Produce Manager,HR Technology,25,"Produce Manager,HR Technology,25"
Compensation Analyst,Dairy,21,"Compensation Analyst,Dairy,21"
"Director, HR Technology",Audit,26,"Director, HR Technology,Audit,26"
Store Manager,Executive,26,"Store Manager,Executive,26"
Dairy Person,Legal,18,"Dairy Person,Legal,18"
Shelf Stocker,Customer Service,20,"Shelf Stocker,Customer Service,20"
Accounting Clerk,Accounts Payable,25,"Accounting Clerk,Accounts Payable,25"
Compensation Analyst,Accounts Payable,25,"Compensation Analyst,Accounts Payable,25"
Produce Clerk,Dairy,5,"Produce Clerk,Dairy,5"
HRIS Analyst,Customer Service,13,"HRIS Analyst,Customer Service,13"
Produce Clerk,Dairy,15,"Produce Clerk,Dairy,15"
"Director, Accounting",Accounts Receiveable,26,"Director, Accounting,Accounts Receiveable,26"
Accounting Clerk,Bakery,12,"Accounting Clerk,Bakery,12"
Processed Foods Manager,Meats,22,"Processed Foods Manager,Meats,22"
Shelf Stocker,Processed Foods,18,"Shelf Stocker,Processed Foods,18"
Meats Manager,Recruitment,25,"Meats Manager,Recruitment,25"
Processed Foods Manager,Meats,22,"Processed Foods Manager,Meats,22"
Labor Relations Analyst,Bakery,21,"Labor Relations Analyst,Bakery,21"
VP Stores,Executive,23,"VP Stores,Executive,23"
Produce Manager,Compensation,22,"Produce Manager,Compensation,22"
Customer Service Manager,Produce,18,"Customer Service Manager,Produce,18"
"Exec Assistant, Human Resources",Meats,26,"Exec Assistant, Human Resources,Meats,26"
Produce Clerk,Customer Service,22,"Produce Clerk,Customer Service,22"
Processed Foods Manager,Dairy,19,"Processed Foods Manager,Dairy,19"
Recruiter,Audit,24,"Recruiter,Audit,24"
VP Stores,Employee Records,17,"VP Stores,Employee Records,17"
Cashier,HR Technology,23,"Cashier,HR Technology,23"
Dairy Person,Dairy,19,"Dairy Person,Dairy,19"
Produce Clerk,Processed Foods,21,"Produce Clerk,Processed Foods,21"
Shelf Stocker,Customer Service,5,"Shelf Stocker,Customer Service,5"
CHief Information Officer,Executive,19,"CHief Information Officer,Executive,19"
Compensation Analyst,Accounting,8,"Compensation Analyst,Accounting,8"
Produce Manager,Dairy,24,"Produce Manager,Dairy,24"
CHief Information Officer,HR Technology,26,"CHief Information Officer,HR Technology,26"
"Director, Accounts Payable",HR Technology,23,"Director, Accounts Payable,HR Technology,23"
Accounts Payable Clerk,Customer Service,22,"Accounts Payable Clerk,Customer Service,22"
VP Stores,Executive,26,"VP Stores,Executive,26"
VP Human Resources,Executive,21,"VP Human Resources,Executive,21"
Baker,Processed Foods,18,"Baker,Processed Foods,18"
Meat Cutter,Produce,20,"Meat Cutter,Produce,20"
Customer Service Manager,Accounts Receiveable,24,"Customer Service Manager,Accounts Receiveable,24"
"Director, Employee Records",Executive,22,"Director, Employee Records,Executive,22"
Meat Cutter,Produce,20,"Meat Cutter,Produce,20"
Shelf Stocker,Customer Service,22,"Shelf Stocker,Customer Service,22"
Benefits Admin,Store Management,13,"Benefits Admin,Store Management,13"
Customer Service Manager,Executive,21,"Customer Service Manager,Executive,21"
Bakery Manager,Information Technology,25,"Bakery Manager,Information Technology,25"
Accounts Receiveable Clerk,Training,20,"Accounts Receiveable Clerk,Training,20"
Baker,Dairy,20,"Baker,Dairy,20"
Accounts Payable Clerk,Compensation,15,"Accounts Payable Clerk,Compensation,15"
Produce Manager,Executive,24,"Produce Manager,Executive,24"
"Exec Assistant, VP Stores",Executive,20,"Exec Assistant, VP Stores,Executive,20"
Benefits Admin,Compensation,24,"Benefits Admin,Compensation,24"
Produce Clerk,Processed Foods,19,"Produce Clerk,Processed Foods,19"
"Exec Assistant, Finance",Accounts Payable,23,"Exec Assistant, Finance,Accounts Payable,23"
"Director, HR Technology",Produce,16,"Director, HR Technology,Produce,16"
Baker,Customer Service,23,"Baker,Customer Service,23"
Meat Cutter,Accounting,14,"Meat Cutter,Accounting,14"
Shelf Stocker,Processed Foods,19,"Shelf Stocker,Processed Foods,19"
Customer Service Manager,Executive,24,"Customer Service Manager,Executive,24"
Dairy Person,Bakery,19,"Dairy Person,Bakery,19"
Corporate Lawyer,Investment,20,"Corporate Lawyer,Investment,20"
Labor Relations Analyst,Accounting,18,"Labor Relations Analyst,Accounting,18"
VP Finance,Executive,20,"VP Finance,Executive,20"
Accounting Clerk,Processed Foods,22,"Accounting Clerk,Processed Foods,22"
Accounts Receiveable Clerk,Accounting,18,"Accounts Receiveable Clerk,Accounting,18"
Processed Foods Manager,Store Management,18,"Processed Foods Manager,Store Management,18"
"Director, Audit",Bakery,25,"Director, Audit,Bakery,25"
Benefits Admin,Investment,25,"Benefits Admin,Investment,25"
Baker,Customer Service,18,"Baker,Customer Service,18"
"Director, Recruitment",Executive,26,"Director, Recruitment,Executive,26"
Bakery Manager,Executive,25,"Bakery Manager,Executive,25"
Recruiter,Bakery,24,"Recruiter,Bakery,24"
Dairy Person,Employee Records,23,"Dairy Person,Employee Records,23"
Cashier,Customer Service,7,"Cashier,Customer Service,7"
Auditor,Training,14,"Auditor,Training,14"
VP Finance,Training,25,"VP Finance,Training,25"
Benefits Admin,Bakery,12,"Benefits Admin,Bakery,12"
"Director, Recruitment",Executive,21,"Director, Recruitment,Executive,21"
Legal Counsel,Executive,25,"Legal Counsel,Executive,25"
"Exec Assistant, Human Resources",Store Management,22,"Exec Assistant, Human Resources,Store Management,22"
Store Manager,HR Technology,24,"Store Manager,HR Technology,24"
VP Stores,Executive,26,"VP Stores,Executive,26"
"Exec Assistant, VP Stores",Accounts Receiveable,26,"Exec Assistant, VP Stores,Accounts Receiveable,26"
Processed Foods Manager,Meats,20,"Processed Foods Manager,Meats,20"
Store Manager,Executive,24,"Store Manager,Executive,24"
Customer Service Manager,Recruitment,14,"Customer Service Manager,Recruitment,14"
"Director, Recruitment",Dairy,22,"Director, Recruitment,Dairy,22"
Meat Cutter,HR Technology,19,"Meat Cutter,HR Technology,19"
"Director, Labor Relations",Dairy,24,"Director, Labor Relations,Dairy,24"
VP Stores,Executive,26,"VP Stores,Executive,26"
"Exec Assistant, Human Resources",Bakery,26,"Exec Assistant, Human Resources,Bakery,26"
Produce Clerk,Audit,12,"Produce Clerk,Audit,12"
VP Stores,Executive,26,"VP Stores,Executive,26"
Produce Manager,Accounting,25,"Produce Manager,Accounting,25"
"Director, Accounts Receivable",Labor Relations,25,"Director, Accounts Receivable,Labor Relations,25"
Customer Service Manager,Legal,26,"Customer Service Manager,Legal,26"
"Director, HR Technology",Executive,22,"Director, HR Technology,Executive,22"
Shelf Stocker,Customer Service,16,"Shelf Stocker,Customer Service,16"
Shelf Stocker,Customer Service,25,"Shelf Stocker,Customer Service,25"
Benefits Admin,Meats,22,"Benefits Admin,Meats,22"
Corporate Lawyer,Labor Relations,19,"Corporate Lawyer,Labor Relations,19"
Produce Clerk,Processed Foods,14,"Produce Clerk,Processed Foods,14"
Dairy Manager,Audit,25,"Dairy Manager,Audit,25"
Customer Service Manager,Bakery,20,"Customer Service Manager,Bakery,20"
Customer Service Manager,Produce,24,"Customer Service Manager,Produce,24"
Baker,Training,24,"Baker,Training,24"
Processed Foods Manager,Compensation,22,"Processed Foods Manager,Compensation,22"
Cashier,Customer Service,13,"Cashier,Customer Service,13"
"Director, HR Technology",Executive,21,"Director, HR Technology,Executive,21"
Store Manager,Store Management,23,"Store Manager,Store Management,23"
VP Human Resources,Executive,25,"VP Human Resources,Executive,25"
"Director, HR Technology",Training,26,"Director, HR Technology,Training,26"
Dairy Person,Executive,18,"Dairy Person,Executive,18"
Accounts Payable Clerk,Processed Foods,21,"Accounts Payable Clerk,Processed Foods,21"
"Exec Assistant, Legal Counsel",Training,23,"Exec Assistant, Legal Counsel,Training,23"
Customer Service Manager,Processed Foods,21,"Customer Service Manager,Processed Foods,21"
Dairy Person,Produce,15,"Dairy Person,Produce,15"
Produce Clerk,Processed Foods,14,"Produce Clerk,Processed Foods,14"
Meats Manager,Executive,24,"Meats Manager,Executive,24"
Benefits Admin,Audit,20,"Benefits Admin,Audit,20"
Labor Relations Analyst,Processed Foods,26,"Labor Relations Analyst,Processed Foods,26"
Customer Service Manager,Processed Foods,20,"Customer Service Manager,Processed Foods,20"
Accounting Clerk,Customer Service,11,"Accounting Clerk,Customer Service,11"
"Exec Assistant, Human Resources",Labor Relations,21,"Exec Assistant, Human Resources,Labor Relations,21"
Auditor,Dairy,24,"Auditor,Dairy,24"
Bakery Manager,Bakery,14,"Bakery Manager,Bakery,14"
Legal Counsel,Store Management,24,"Legal Counsel,Store Management,24"
Produce Clerk,Bakery,19,"Produce Clerk,Bakery,19"
Dairy Manager,Accounting,23,"Dairy Manager,Accounting,23"
Store Manager,Executive,21,"Store Manager,Executive,21"
Labor Relations Analyst,Training,19,"Labor Relations Analyst,Training,19"
Dairy Person,Meats,22,"Dairy Person,Meats,22"
"Director, Accounting",Processed Foods,19,"Director, Accounting,Processed Foods,19"
"Exec Assistant, VP Stores",Executive,21,"Exec Assistant, VP Stores,Executive,21"
Meats Manager,Employee Records,25,"Meats Manager,Employee Records,25"
Trainer,Accounting,22,"Trainer,Accounting,22"
Produce Clerk,Produce,15,"Produce Clerk,Produce,15"
CHief Information Officer,Executive,26,"CHief Information Officer,Executive,26"
Accounts Receiveable Clerk,Information Technology,14,"Accounts Receiveable Clerk,Information Technology,14"
Dairy Person,Audit,18,"Dairy Person,Audit,18"
Customer Service Manager,Compensation,23,"Customer Service Manager,Compensation,23"
Cashier,Customer Service,11,"Cashier,Customer Service,11"
Dairy Manager,Meats,24,"Dairy Manager,Meats,24"
Meat Cutter,Meats,24,"Meat Cutter,Meats,24"
Store Manager,Recruitment,23,"Store Manager,Recruitment,23"
Dairy Person,HR Technology,25,"Dairy Person,HR Technology,25"
Shelf Stocker,Processed Foods,15,"Shelf Stocker,Processed Foods,15"
CEO,Executive,22,"CEO,Executive,22"
Accounts Receiveable Clerk,Customer Service,5,"Accounts Receiveable Clerk,Customer Service,5"
Baker,Produce,18,"Baker,Produce,18"
CEO,Executive,17,"CEO,Executive,17"
Cashier,Customer Service,20,"Cashier,Customer Service,20"
VP Human Resources,Meats,24,"VP Human Resources,Meats,24"
Store Manager,Audit,26,"Store Manager,Audit,26"
VP Finance,Executive,21,"VP Finance,Executive,21"
Cashier,Dairy,16,"Cashier,Dairy,16"
VP Human Resources,Recruitment,18,"VP Human Resources,Recruitment,18"
Legal Counsel,Executive,25,"Legal Counsel,Executive,25"
VP Stores,Executive,26,"VP Stores,Executive,26"
"Director, Accounting",Bakery,22,"Director, Accounting,Bakery,22"
Compensation Analyst,Investment,10,"Compensation Analyst,Investment,10"
VP Human Resources,Executive,24,"VP Human Resources,Executive,24"
"Director, Accounting",Executive,26,"Director, Accounting,Executive,26"
VP Finance,Executive,23,"VP Finance,Executive,23"
Dairy Person,Produce,19,"Dairy Person,Produce,19"
Meat Cutter,Employee Records,15,"Meat Cutter,Employee Records,15"
Cashier,Customer Service,9,"Cashier,Customer Service,9"
Meat Cutter,HR Technology,12,"Meat Cutter,HR Technology,12"
Customer Service Manager,Employee Records,22,"Customer Service Manager,Employee Records,22"
Customer Service Manager,Recruitment,20,"Customer Service Manager,Recruitment,20"
VP Finance,Recruitment,26,"VP Finance,Recruitment,26"
Accounts Receiveable Clerk,Compensation,20,"Accounts Receiveable Clerk,Compensation,20"
Meats Manager,Meats,21,"Meats Manager,Meats,21"
Trainer,Legal,25,"Trainer,Legal,25"
Accounting Clerk,Processed Foods,17,"Accounting Clerk,Processed Foods,17"
Produce Clerk,Processed Foods,20,"Produce Clerk,Processed Foods,20"
Benefits Admin,Produce,20,"Benefits Admin,Produce,20"
VP Stores,Employee Records,24,"VP Stores,Employee Records,24"
Processed Foods Manager,Dairy,13,"Processed Foods Manager,Dairy,13"
Customer Service Manager,Meats,23,"Customer Service Manager,Meats,23"
Baker,Accounting,4,"Baker,Accounting,4"
Customer Service Manager,Executive,24,"Customer Service Manager,Executive,24"
Customer Service Manager,Meats,18,"Customer Service Manager,Meats,18"
Shelf Stocker,Customer Service,9,"Shelf Stocker,Customer Service,9"
"Director, Accounting",Bakery,22,"Director, Accounting,Bakery,22"
Dairy Person,Recruitment,21,"Dairy Person,Recruitment,21"
Shelf Stocker,Customer Service,15,"Shelf Stocker,Customer Service,15"
"Exec Assistant, Legal Counsel",Executive,25,"Exec Assistant, Legal Counsel,Executive,25"
"Director, Accounts Receivable",HR Technology,23,"Director, Accounts Receivable,HR Technology,23"
Bakery Manager,Employee Records,20,"Bakery Manager,Employee Records,20"
Shelf Stocker,Accounting,20,"Shelf Stocker,Accounting,20"
"Exec Assistant, Finance",Executive,26,"Exec Assistant, Finance,Executive,26"
Processed Foods Manager,Executive,14,"Processed Foods Manager,Executive,14"
VP Finance,Recruitment,26,"VP Finance,Recruitment,26"
Produce Clerk,Customer Service,19,"Produce Clerk,Customer Service,19"
"Exec Assistant, VP Stores",Executive,23,"Exec Assistant, VP Stores,Executive,23"
Customer Service Manager,Meats,25,"Customer Service Manager,Meats,25"
Investment Analyst,Accounts Payable,21,"Investment Analyst,Accounts Payable,21"
Processed Foods Manager,Employee Records,4,"Processed Foods Manager,Employee Records,4"
Processed Foods Manager,Bakery,17,"Processed Foods Manager,Bakery,17"
Dairy Person,Meats,24,"Dairy Person,Meats,24"
"Director, Recruitment",Processed Foods,18,"Director, Recruitment,Processed Foods,18"
Customer Service Manager,Accounting,25,"Customer Service Manager,Accounting,25"
Systems Analyst,HR Technology,15,"Systems Analyst,HR Technology,15"
Meat Cutter,Produce,12,"Meat Cutter,Produce,12"
Baker,Dairy,22,"Baker,Dairy,22"
Trainer,Produce,20,"Trainer,Produce,20"
HRIS Analyst,Customer Service,22,"HRIS Analyst,Customer Service,22"
Processed Foods Manager,Processed Foods,19,"Processed Foods Manager,Processed Foods,19"
VP Human Resources,Store Management,24,"VP Human Resources,Store Management,24"
Dairy Manager,Executive,26,"Dairy Manager,Executive,26"
Auditor,Bakery,26,"Auditor,Bakery,26"
Labor Relations Analyst,Bakery,23,"Labor Relations Analyst,Bakery,23"
"Director, Labor Relations",Executive,25,"Director, Labor Relations,Executive,25"
"Exec Assistant, VP Stores",Executive,25,"Exec Assistant, VP Stores,Executive,25"
Dairy Person,Bakery,19,"Dairy Person,Bakery,19"
Accounting Clerk,Dairy,23,"Accounting Clerk,Dairy,23"
Dairy Manager,Dairy,21,"Dairy Manager,Dairy,21"
"Director, Recruitment",HR Technology,23,"Director, Recruitment,HR Technology,23"
VP Finance,Recruitment,24,"VP Finance,Recruitment,24"
Dairy Manager,Store Management,23,"Dairy Manager,Store Management,23"
Meats Manager,Labor Relations,17,"Meats Manager,Labor Relations,17"
Meat Cutter,Meats,21,"Meat Cutter,Meats,21"
Bakery Manager,Meats,26,"Bakery Manager,Meats,26"
Corporate Lawyer,Accounting,26,"Corporate Lawyer,Accounting,26"
"Director, Compensation",HR Technology,26,"Director, Compensation,HR Technology,26"
Store Manager,Meats,24,"Store Manager,Meats,24"
Legal Counsel,Executive,24,"Legal Counsel,Executive,24"
Meats Manager,Executive,25,"Meats Manager,Executive,25"
"Director, Recruitment",Audit,21,"Director, Recruitment,Audit,21"
Produce Clerk,Dairy,8,"Produce Clerk,Dairy,8"
Customer Service Manager,Executive,14,"Customer Service Manager,Executive,14"
Investment Analyst,Audit,24,"Investment Analyst,Audit,24"
"Exec Assistant, Human Resources",Executive,8,"Exec Assistant, Human Resources,Executive,8"
Cashier,Customer Service,9,"Cashier,Customer Service,9"
Accounts Payable Clerk,Processed Foods,25,"Accounts Payable Clerk,Processed Foods,25"
HRIS Analyst,Dairy,16,"HRIS Analyst,Dairy,16"
Customer Service Manager,Executive,17,"Customer Service Manager,Executive,17"
Produce Clerk,Processed Foods,15,"Produce Clerk,Processed Foods,15"
Produce Manager,HR Technology,24,"Produce Manager,HR Technology,24"
Recruiter,Processed Foods,24,"Recruiter,Processed Foods,24"
CEO,Executive,24,"CEO,Executive,24"
Shelf Stocker,Processed Foods,10,"Shelf Stocker,Processed Foods,10"
Labor Relations Analyst,Employee Records,14,"Labor Relations Analyst,Employee Records,14"
"Exec Assistant, Human Resources",Executive,21,"Exec Assistant, Human Resources,Executive,21"
"Director, Recruitment",Legal,15,"Director, Recruitment,Legal,15"
Legal Counsel,Executive,24,"Legal Counsel,Executive,24"
CEO,Executive,25,"CEO,Executive,25"
Meats Manager,Meats,23,"Meats Manager,Meats,23"
Dairy Person,Meats,26,"Dairy Person,Meats,26"
Trainer,Produce,7,"Trainer,Produce,7"
Dairy Manager,Produce,23,"Dairy Manager,Produce,23"
Cashier,Customer Service,21,"Cashier,Customer Service,21"
Customer Service Manager,Training,24,"Customer Service Manager,Training,24"
Shelf Stocker,Bakery,23,"Shelf Stocker,Bakery,23"
Meats Manager,Executive,23,"Meats Manager,Executive,23"
Bakery Manager,Produce,23,"Bakery Manager,Produce,23"
Cashier,Customer Service,16,"Cashier,Customer Service,16"
"Exec Assistant, Human Resources",Executive,23,"Exec Assistant, Human Resources,Executive,23"
Bakery Manager,Bakery,17,"Bakery Manager,Bakery,17"
Processed Foods Manager,Bakery,25,"Processed Foods Manager,Bakery,25"
"Director, Employee Records",Executive,26,"Director, Employee Records,Executive,26"
Produce Clerk,Customer Service,23,"Produce Clerk,Customer Service,23"
Meat Cutter,Produce,24,"Meat Cutter,Produce,24"
"Director, HR Technology",Bakery,17,"Director, HR Technology,Bakery,17"
Cashier,Processed Foods,24,"Cashier,Processed Foods,24"
VP Finance,Executive,24,"VP Finance,Executive,24"
Meat Cutter,Accounts Payable,20,"Meat Cutter,Accounts Payable,20"
Accounts Payable Clerk,Executive,17,"Accounts Payable Clerk,Executive,17"
Customer Service Manager,Compensation,24,"Customer Service Manager,Compensation,24"
"Exec Assistant, Human Resources",Labor Relations,26,"Exec Assistant, Human Resources,Labor Relations,26"
Accounts Receiveable Clerk,Dairy,22,"Accounts Receiveable Clerk,Dairy,22"
Dairy Person,Legal,9,"Dairy Person,Legal,9"
Store Manager,Labor Relations,26,"Store Manager,Labor Relations,26"
"Exec Assistant, VP Stores",Training,24,"Exec Assistant, VP Stores,Training,24"
"Exec Assistant, VP Stores",Processed Foods,25,"Exec Assistant, VP Stores,Processed Foods,25"
Produce Clerk,Processed Foods,12,"Produce Clerk,Processed Foods,12"
"Exec Assistant, Finance",Labor Relations,24,"Exec Assistant, Finance,Labor Relations,24"
"Exec Assistant, Legal Counsel",Executive,26,"Exec Assistant, Legal Counsel,Executive,26"
"Director, Accounts Receivable",Meats,20,"Director, Accounts Receivable,Meats,20"
Store Manager,Executive,12,"Store Manager,Executive,12"
Meat Cutter,Executive,8,"Meat Cutter,Executive,8"
"Exec Assistant, VP Stores",Executive,23,"Exec Assistant, VP Stores,Executive,23"
Dairy Person,Bakery,15,"Dairy Person,Bakery,15"
Meat Cutter,Meats,26,"Meat Cutter,Meats,26"
Labor Relations Analyst,Processed Foods,24,"Labor Relations Analyst,Processed Foods,24"
Recruiter,Accounts Receiveable,24,"Recruiter,Accounts Receiveable,24"
Investment Analyst,Processed Foods,16,"Investment Analyst,Processed Foods,16"
Cashier,Processed Foods,18,"Cashier,Processed Foods,18"
Cashier,Processed Foods,20,"Cashier,Processed Foods,20"
"Director, Accounts Receivable",Processed Foods,26,"Director, Accounts Receivable,Processed Foods,26"
Trainer,Audit,22,"Trainer,Audit,22"
Dairy Person,Legal,26,"Dairy Person,Legal,26"
"Director, Employee Records",HR Technology,23,"Director, Employee Records,HR Technology,23"
Bakery Manager,Recruitment,24,"Bakery Manager,Recruitment,24"
Shelf Stocker,Customer Service,14,"Shelf Stocker,Customer Service,14"
Shelf Stocker,Processed Foods,18,"Shelf Stocker,Processed Foods,18"
Bakery Manager,Labor Relations,11,"Bakery Manager,Labor Relations,11"
"Exec Assistant, Finance",Accounts Receiveable,24,"Exec Assistant, Finance,Accounts Receiveable,24"
"Exec Assistant, Finance",Meats,19,"Exec Assistant, Finance,Meats,19"
Bakery Manager,Accounts Receiveable,26,"Bakery Manager,Accounts Receiveable,26"
HRIS Analyst,Accounting,9,"HRIS Analyst,Accounting,9"
Shelf Stocker,Audit,16,"Shelf Stocker,Audit,16"
Cashier,Processed Foods,23,"Cashier,Processed Foods,23"
Produce Manager,Compensation,26,"Produce Manager,Compensation,26"
Produce Clerk,Audit,16,"Produce Clerk,Audit,16"
Recruiter,Labor Relations,23,"Recruiter,Labor Relations,23"
Cashier,Bakery,16,"Cashier,Bakery,16"
"Exec Assistant, Legal Counsel",Recruitment,22,"Exec Assistant, Legal Counsel,Recruitment,22"
Recruiter,Produce,20,"Recruiter,Produce,20"
Processed Foods Manager,Employee Records,17,"Processed Foods Manager,Employee Records,17"
Meat Cutter,Accounting,13,"Meat Cutter,Accounting,13"
Dairy Person,Meats,19,"Dairy Person,Meats,19"
Bakery Manager,Meats,18,"Bakery Manager,Meats,18"
VP Human Resources,Meats,26,"VP Human Resources,Meats,26"
Store Manager,Executive,20,"Store Manager,Executive,20"
Accounting Clerk,Customer Service,23,"Accounting Clerk,Customer Service,23"
Trainer,Audit,25,"Trainer,Audit,25"
Produce Clerk,Customer Service,15,"Produce Clerk,Customer Service,15"
Compensation Analyst,Customer Service,15,"Compensation Analyst,Customer Service,15"
Dairy Person,Meats,20,"Dairy Person,Meats,20"
Meat Cutter,Executive,17,"Meat Cutter,Executive,17"
"Exec Assistant, VP Stores",Meats,22,"Exec Assistant, VP Stores,Meats,22"
VP Stores,Meats,26,"VP Stores,Meats,26"
Benefits Admin,Bakery,26,"Benefits Admin,Bakery,26"
Cashier,Customer Service,16,"Cashier,Customer Service,16"
Dairy Person,Produce,22,"Dairy Person,Produce,22"
Meat Cutter,Recruitment,20,"Meat Cutter,Recruitment,20"
Cashier,Customer Service,6,"Cashier,Customer Service,6"
Processed Foods Manager,Training,23,"Processed Foods Manager,Training,23"
Dairy Person,Meats,23,"Dairy Person,Meats,23"
Shelf Stocker,Customer Service,8,"Shelf Stocker,Customer Service,8"
Meat Cutter,Dairy,25,"Meat Cutter,Dairy,25"
Corporate Lawyer,Accounts Payable,25,"Corporate Lawyer,Accounts Payable,25"
Shelf Stocker,Customer Service,20,"Shelf Stocker,Customer Service,20"
Meat Cutter,Produce,26,"Meat Cutter,Produce,26"
Produce Clerk,Dairy,20,"Produce Clerk,Dairy,20"
Produce Clerk,Customer Service,19,"Produce Clerk,Customer Service,19"
Dairy Manager,Processed Foods,18,"Dairy Manager,Processed Foods,18"
"Director, Accounts Payable",Meats,23,"Director, Accounts Payable,Meats,23"
Accounts Receiveable Clerk,Investment,17,"Accounts Receiveable Clerk,Investment,17"
Investment Analyst,Processed Foods,26,"Investment Analyst,Processed Foods,26"
Customer Service Manager,Accounting,24,"Customer Service Manager,Accounting,24"
Produce Manager,Produce,25,"Produce Manager,Produce,25"
Meats Manager,Store Management,17,"Meats Manager,Store Management,17"
Compensation Analyst,Produce,22,"Compensation Analyst,Produce,22"
Baker,Customer Service,23,"Baker,Customer Service,23"
Dairy Manager,Labor Relations,17,"Dairy Manager,Labor Relations,17"
Produce Clerk,Bakery,11,"Produce Clerk,Bakery,11"
Produce Clerk,Bakery,25,"Produce Clerk,Bakery,25"
CHief Information Officer,Audit,20,"CHief Information Officer,Audit,20"
Labor Relations Analyst,Investment,16,"Labor Relations Analyst,Investment,16"
Produce Clerk,Accounts Receiveable,19,"Produce Clerk,Accounts Receiveable,19"
"Director, Accounts Receivable",Compensation,18,"Director, Accounts Receivable,Compensation,18"
Produce Clerk,Produce,20,"Produce Clerk,Produce,20"
Baker,Customer Service,23,"Baker,Customer Service,23"
Baker,Bakery,20,"Baker,Bakery,20"
HRIS Analyst,Dairy,20,"HRIS Analyst,Dairy,20"
Trainer,HR Technology,21,"Trainer,HR Technology,21"
Baker,Processed Foods,21,"Baker,Processed Foods,21"
Auditor,Accounting,20,"Auditor,Accounting,20"
Compensation Analyst,Processed Foods,7,"Compensation Analyst,Processed Foods,7"
Baker,HR Technology,20,"Baker,HR Technology,20"
Trainer,Accounts Receiveable,20,"Trainer,Accounts Receiveable,20"
Corporate Lawyer,Produce,22,"Corporate Lawyer,Produce,22"
Produce Manager,Audit,24,"Produce Manager,Audit,24"
CHief Information Officer,Meats,19,"CHief Information Officer,Meats,19"
VP Finance,Executive,25,"VP Finance,Executive,25"
"Director, HR Technology",Bakery,9,"Director, HR Technology,Bakery,9"
"Director, Accounts Payable",Audit,25,"Director, Accounts Payable,Audit,25"
Investment Analyst,Audit,25,"Investment Analyst,Audit,25"
Accounts Receiveable Clerk,Recruitment,22,"Accounts Receiveable Clerk,Recruitment,22"
HRIS Analyst,Recruitment,26,"HRIS Analyst,Recruitment,26"
Processed Foods Manager,Produce,25,"Processed Foods Manager,Produce,25"
Shelf Stocker,Processed Foods,24,"Shelf Stocker,Processed Foods,24"
HRIS Analyst,Bakery,21,"HRIS Analyst,Bakery,21"
Recruiter,Bakery,23,"Recruiter,Bakery,23"
Produce Clerk,Produce,10,"Produce Clerk,Produce,10"
CHief Information Officer,Meats,17,"CHief Information Officer,Meats,17"
Meats Manager,Produce,26,"Meats Manager,Produce,26"
