transaction_amount,merchant_name,date,transaction_details
65.15,"Hubbard, Ellis and Clayton",2023-02-03,"65.15,Hubbard, Ellis and Clayton,2023-02-03"
678.39,Johnson Inc,2023-04-12,"678.39,Johnson Inc,2023-04-12"
114.46,Gibson LLC,2023-09-28,"114.46,Gibson LLC,2023-09-28"
2337.76,Herrera-Turner,2023-05-02,"2337.76,Herrera-Turner,2023-05-02"
66.73,Watts Ltd,2023-06-14,"66.73,Watts Ltd,2023-06-14"
193.49,Kemp LLC,2023-03-23,"193.49,Kemp LLC,2023-03-23"
70.64,"Lee, Hernandez and Shepard",2023-08-05,"70.64,Lee, Hernandez and Shepard,2023-08-05"
82.53,"Moore, Farley and Hall",2023-06-17,"82.53,Moore, Farley and Hall,2023-06-17"
985.01,Chandler-Stark,2023-01-17,"985.01,Chandler-Stark,2023-01-17"
102.36,"Green, Perez and Williams",2023-09-25,"102.36,Green, Perez and Williams,2023-09-25"
84.86,Lee-Ross,2023-08-02,"84.86,Lee-Ross,2023-08-02"
2489.76,Perez-Tran,2023-02-26,"2489.76,Perez-Tran,2023-02-26"
1703.05,"Summers, Oneill and Rogers",2023-06-26,"1703.05,Summers, Oneill and Rogers,2023-06-26"
559.6,Herrera-Carrillo,2023-04-05,"559.6,Herrera-Carrillo,2023-04-05"
30.23,"Harrison, Whitaker and Owens",2023-08-24,"30.23,Harrison, Whitaker and Owens,2023-08-24"
1271.08,Harrison-Thompson,2023-07-25,"1271.08,Harrison-Thompson,2023-07-25"
163.76,Anthony Inc,2023-09-28,"163.76,Anthony Inc,2023-09-28"
182.94,Jordan-Gates,2023-03-31,"182.94,Jordan-Gates,2023-03-31"
251.52,Mullins-Jordan,2023-03-27,"251.52,Mullins-Jordan,2023-03-27"
185.27,Gray Inc,2023-04-18,"185.27,Gray Inc,2023-04-18"
70.91,Young Ltd,2023-08-29,"70.91,Young Ltd,2023-08-29"
2246.67,"Welch, Barnes and Copeland",2023-01-23,"2246.67,Welch, Barnes and Copeland,2023-01-23"
83.28,"Guzman, Rivera and Knight",2023-08-06,"83.28,Guzman, Rivera and Knight,2023-08-06"
904.71,"Calhoun, Pratt and Padilla",2023-03-10,"904.71,Calhoun, Pratt and Padilla,2023-03-10"
154.2,Wise PLC,2023-05-19,"154.2,Wise PLC,2023-05-19"
31.34,Wilson-Reese,2023-07-08,"31.34,Wilson-Reese,2023-07-08"
1236.75,"Boyd, Beltran and Snyder",2023-06-10,"1236.75,Boyd, Beltran and Snyder,2023-06-10"
143.74,Bell-Hayes,2023-06-22,"143.74,Bell-Hayes,2023-06-22"
88.24,Peterson Ltd,2023-09-30,"88.24,Peterson Ltd,2023-09-30"
15.4,"Washington, Scott and Hill",2023-02-10,"15.4,Washington, Scott and Hill,2023-02-10"
99.97,Rodriguez-Griffin,2023-06-06,"99.97,Rodriguez-Griffin,2023-06-06"
140.34,"Adams, Hudson and Brown",2023-08-25,"140.34,Adams, Hudson and Brown,2023-08-25"
118.97,"Stewart, Curry and Young",2023-02-24,"118.97,Stewart, Curry and Young,2023-02-24"
647.35,Ewing Group,2023-01-20,"647.35,Ewing Group,2023-01-20"
181.22,"Gibson, Allen and Hartman",2023-04-10,"181.22,Gibson, Allen and Hartman,2023-04-10"
101.76,"Bautista, Hutchinson and Owens",2023-04-15,"101.76,Bautista, Hutchinson and Owens,2023-04-15"
75.2,Chapman and Sons,2023-05-20,"75.2,Chapman and Sons,2023-05-20"
1779.47,Watson Group,2023-02-27,"1779.47,Watson Group,2023-02-27"
643.12,Chaney-Brennan,2023-05-23,"643.12,Chaney-Brennan,2023-05-23"
1163.78,Gonzales-Jackson,2023-08-10,"1163.78,Gonzales-Jackson,2023-08-10"
123.85,"Murray, Christensen and Barrett",2023-09-02,"123.85,Murray, Christensen and Barrett,2023-09-02"
177.23,Sawyer-Cruz,2023-05-15,"177.23,Sawyer-Cruz,2023-05-15"
536.06,"Schmitt, Thompson and Clarke",2023-09-06,"536.06,Schmitt, Thompson and Clarke,2023-09-06"
133.84,Brown-Weaver,2023-08-19,"133.84,Brown-Weaver,2023-08-19"
26.28,Foster-Pratt,2023-06-03,"26.28,Foster-Pratt,2023-06-03"
150.93,"Schultz, Wallace and Patterson",2023-08-06,"150.93,Schultz, Wallace and Patterson,2023-08-06"
196.16,Morales Inc,2023-05-14,"196.16,Morales Inc,2023-05-14"
1989.35,Wu LLC,2023-05-24,"1989.35,Wu LLC,2023-05-24"
158.52,Adams PLC,2023-02-01,"158.52,Adams PLC,2023-02-01"
17.15,"Garza, Higgins and Mckenzie",2023-07-22,"17.15,Garza, Higgins and Mckenzie,2023-07-22"
74.65,Callahan LLC,2023-07-01,"74.65,Callahan LLC,2023-07-01"
113.2,Williams-Davis,2023-09-21,"113.2,Williams-Davis,2023-09-21"
586.46,Santiago PLC,2023-05-06,"586.46,Santiago PLC,2023-05-06"
8.09,"Hinton, Owens and Oliver",2023-07-23,"8.09,Hinton, Owens and Oliver,2023-07-23"
91.77,Vasquez Group,2023-03-16,"91.77,Vasquez Group,2023-03-16"
11.98,Gomez Ltd,2023-04-10,"11.98,Gomez Ltd,2023-04-10"
155.17,"Dickerson, Wilson and Davis",2023-01-02,"155.17,Dickerson, Wilson and Davis,2023-01-02"
691.76,"Miller, Byrd and Powers",2023-08-10,"691.76,Miller, Byrd and Powers,2023-08-10"
54.06,Matthews-Medina,2023-05-22,"54.06,Matthews-Medina,2023-05-22"
44.17,Young-Williams,2023-02-16,"44.17,Young-Williams,2023-02-16"
2706.83,Zimmerman-Martinez,2023-04-06,"2706.83,Zimmerman-Martinez,2023-04-06"
134.22,Williams-Garcia,2023-01-10,"134.22,Williams-Garcia,2023-01-10"
1123.9,Gill LLC,2023-09-07,"1123.9,Gill LLC,2023-09-07"
1602.7,Martin-Blevins,2023-03-18,"1602.7,Martin-Blevins,2023-03-18"
250.41,Roberts-Mccarthy,2023-01-03,"250.41,Roberts-Mccarthy,2023-01-03"
83.33,Phillips-Wells,2023-06-06,"83.33,Phillips-Wells,2023-06-06"
37.62,Short-Martinez,2023-08-17,"37.62,Short-Martinez,2023-08-17"
55.11,Johnson-Hayes,2023-06-07,"55.11,Johnson-Hayes,2023-06-07"
41.91,Rowland and Sons,2023-01-25,"41.91,Rowland and Sons,2023-01-25"
258.98,Gonzales-Stewart,2023-06-02,"258.98,Gonzales-Stewart,2023-06-02"
284.37,"Steele, Davis and Morales",2023-04-01,"284.37,Steele, Davis and Morales,2023-04-01"
1783.95,"Fritz, Stanton and Russo",2023-03-21,"1783.95,Fritz, Stanton and Russo,2023-03-21"
133.37,Jones-Crane,2023-05-26,"133.37,Jones-Crane,2023-05-26"
693.3,Brandt-Wilson,2023-03-31,"693.3,Brandt-Wilson,2023-03-31"
57.44,Blankenship-Turner,2023-08-28,"57.44,Blankenship-Turner,2023-08-28"
432.99,Richardson PLC,2023-07-15,"432.99,Richardson PLC,2023-07-15"
226.71,Baker Ltd,2023-06-10,"226.71,Baker Ltd,2023-06-10"
150.47,Pace and Sons,2023-01-23,"150.47,Pace and Sons,2023-01-23"
249.56,Sandoval-Taylor,2023-09-05,"249.56,Sandoval-Taylor,2023-09-05"
1126.78,"Miller, Lee and Lopez",2023-03-24,"1126.78,Miller, Lee and Lopez,2023-03-24"
37.02,Miller-Griffith,2023-06-25,"37.02,Miller-Griffith,2023-06-25"
311.42,"Mahoney, Montgomery and Romero",2023-04-06,"311.42,Mahoney, Montgomery and Romero,2023-04-06"
1713.08,"Brown, Riley and Clark",2023-09-04,"1713.08,Brown, Riley and Clark,2023-09-04"
154.83,Paul-Winters,2023-06-07,"154.83,Paul-Winters,2023-06-07"
45.8,Huffman Ltd,2023-07-11,"45.8,Huffman Ltd,2023-07-11"
22.41,Greene-Poole,2023-05-15,"22.41,Greene-Poole,2023-05-15"
994.26,Coleman-Fowler,2023-01-06,"994.26,Coleman-Fowler,2023-01-06"
908.69,"Schroeder, Perry and Jenkins",2023-04-27,"908.69,Schroeder, Perry and Jenkins,2023-04-27"
206.82,Ibarra-Pierce,2023-06-09,"206.82,Ibarra-Pierce,2023-06-09"
142.02,Bauer PLC,2023-07-25,"142.02,Bauer PLC,2023-07-25"
492.96,"Adams, Johnson and Mccormick",2023-01-27,"492.96,Adams, Johnson and Mccormick,2023-01-27"
190.08,Horton Group,2023-09-08,"190.08,Horton Group,2023-09-08"
151.62,Hill Group,2023-06-29,"151.62,Hill Group,2023-06-29"
84.75,"Long, Morgan and Hughes",2023-05-15,"84.75,Long, Morgan and Hughes,2023-05-15"
497.85,Pham LLC,2023-03-17,"497.85,Pham LLC,2023-03-17"
81.04,Aguilar Ltd,2023-08-21,"81.04,Aguilar Ltd,2023-08-21"
99.57,"Flores, Elliott and Watkins",2023-07-28,"99.57,Flores, Elliott and Watkins,2023-07-28"
15.73,Johnson-Montgomery,2023-06-27,"15.73,Johnson-Montgomery,2023-06-27"
34.19,"Lewis, Johnson and Knapp",2023-05-23,"34.19,Lewis, Johnson and Knapp,2023-05-23"
607.93,"Hubbard, Reese and Howard",2023-09-04,"607.93,Hubbard, Reese and Howard,2023-09-04"
59.7,Hancock-Smith,2023-04-12,"59.7,Hancock-Smith,2023-04-12"
66.4,"Gonzalez, Garcia and Mitchell",2023-03-31,"66.4,Gonzalez, Garcia and Mitchell,2023-03-31"
82.72,Whitehead-Smith,2023-07-27,"82.72,Whitehead-Smith,2023-07-27"
13.59,Chan Group,2023-02-21,"13.59,Chan Group,2023-02-21"
622.47,"Taylor, Evans and Cook",2023-08-16,"622.47,Taylor, Evans and Cook,2023-08-16"
479.4,Perry-Roman,2023-06-27,"479.4,Perry-Roman,2023-06-27"
603.92,"Davis, Nguyen and Luna",2023-05-12,"603.92,Davis, Nguyen and Luna,2023-05-12"
228.7,Castillo-Tucker,2023-06-11,"228.7,Castillo-Tucker,2023-06-11"
1160.17,Campbell-Richardson,2023-04-27,"1160.17,Campbell-Richardson,2023-04-27"
244.09,Mccall Inc,2023-05-01,"244.09,Mccall Inc,2023-05-01"
1333.42,"Tran, White and Anderson",2023-07-03,"1333.42,Tran, White and Anderson,2023-07-03"
64.35,Briggs-Lester,2023-02-14,"64.35,Briggs-Lester,2023-02-14"
467.03,"Spencer, Taylor and Carey",2023-05-25,"467.03,Spencer, Taylor and Carey,2023-05-25"
61.71,Parker-Carey,2023-09-26,"61.71,Parker-Carey,2023-09-26"
475.51,"Ray, Foster and Green",2023-09-26,"475.51,Ray, Foster and Green,2023-09-26"
99.35,Prince-Morrow,2023-07-03,"99.35,Prince-Morrow,2023-07-03"
91.69,Brown Ltd,2023-10-07,"91.69,Brown Ltd,2023-10-07"
822.42,"Salinas, Martin and Turner",2023-01-18,"822.42,Salinas, Martin and Turner,2023-01-18"
291.94,Vasquez-Barnes,2023-06-09,"291.94,Vasquez-Barnes,2023-06-09"
2571.96,Cook Inc,2023-01-06,"2571.96,Cook Inc,2023-01-06"
21.88,"Harris, Johnson and Brown",2023-09-30,"21.88,Harris, Johnson and Brown,2023-09-30"
434.11,Allen-Moore,2023-05-16,"434.11,Allen-Moore,2023-05-16"
73.43,Smith Ltd,2023-09-24,"73.43,Smith Ltd,2023-09-24"
132.88,Payne LLC,2023-06-18,"132.88,Payne LLC,2023-06-18"
64.59,Brown Group,2023-05-17,"64.59,Brown Group,2023-05-17"
114.51,Moreno-Jones,2023-05-24,"114.51,Moreno-Jones,2023-05-24"
1498.17,"Barajas, Adams and Wilkerson",2023-09-13,"1498.17,Barajas, Adams and Wilkerson,2023-09-13"
75.96,Ford-Sutton,2023-07-30,"75.96,Ford-Sutton,2023-07-30"
2139.44,Roberts-Fisher,2023-02-02,"2139.44,Roberts-Fisher,2023-02-02"
65.68,Smith and Sons,2023-08-30,"65.68,Smith and Sons,2023-08-30"
80.36,"Carlson, Manning and Walker",2023-07-17,"80.36,Carlson, Manning and Walker,2023-07-17"
44.85,Vega-Berry,2023-08-28,"44.85,Vega-Berry,2023-08-28"
180.85,"Hamilton, Miller and Ward",2023-06-27,"180.85,Hamilton, Miller and Ward,2023-06-27"
628.27,"White, Lynch and Lewis",2023-09-25,"628.27,White, Lynch and Lewis,2023-09-25"
2154.16,Hartman-Brandt,2023-05-30,"2154.16,Hartman-Brandt,2023-05-30"
174.24,Herrera PLC,2023-07-15,"174.24,Herrera PLC,2023-07-15"
34.45,Hickman-Williams,2023-02-20,"34.45,Hickman-Williams,2023-02-20"
1999.3,Walter-Ward,2023-06-18,"1999.3,Walter-Ward,2023-06-18"
193.25,Cook Group,2023-08-21,"193.25,Cook Group,2023-08-21"
167.16,Aguilar-Richards,2023-01-31,"167.16,Aguilar-Richards,2023-01-31"
108.91,"Hendricks, Wiley and Long",2023-05-20,"108.91,Hendricks, Wiley and Long,2023-05-20"
385.74,Nunez-Brewer,2023-03-14,"385.74,Nunez-Brewer,2023-03-14"
29.69,"Hughes, Gonzalez and Ward",2023-06-10,"29.69,Hughes, Gonzalez and Ward,2023-06-10"
10.64,"Orozco, Patterson and Robinson",2023-06-15,"10.64,Orozco, Patterson and Robinson,2023-06-15"
524.37,"Miranda, Donovan and Welch",2023-08-19,"524.37,Miranda, Donovan and Welch,2023-08-19"
842.9,Macias Ltd,2023-06-04,"842.9,Macias Ltd,2023-06-04"
944.04,"Ramirez, Taylor and Edwards",2023-10-10,"944.04,Ramirez, Taylor and Edwards,2023-10-10"
161.88,Nguyen and Sons,2023-05-14,"161.88,Nguyen and Sons,2023-05-14"
27.13,"Cuevas, Graham and Griffin",2023-08-22,"27.13,Cuevas, Graham and Griffin,2023-08-22"
2064.01,Warner LLC,2023-08-02,"2064.01,Warner LLC,2023-08-02"
2446.72,Hebert and Sons,2023-05-07,"2446.72,Hebert and Sons,2023-05-07"
565.56,Fuentes Group,2023-07-23,"565.56,Fuentes Group,2023-07-23"
321.85,Waters-Warner,2023-04-26,"321.85,Waters-Warner,2023-04-26"
2514.02,Woods and Sons,2023-06-11,"2514.02,Woods and Sons,2023-06-11"
420.94,Smith-Patel,2023-06-07,"420.94,Smith-Patel,2023-06-07"
151.8,"Simmons, Jackson and Robertson",2023-07-26,"151.8,Simmons, Jackson and Robertson,2023-07-26"
29.78,"Williams, Larson and Bennett",2023-03-24,"29.78,Williams, Larson and Bennett,2023-03-24"
82.63,"Martinez, Walker and Mathews",2023-02-12,"82.63,Martinez, Walker and Mathews,2023-02-12"
220.49,Dunn-Johnson,2023-09-30,"220.49,Dunn-Johnson,2023-09-30"
243.14,Reed Group,2023-01-05,"243.14,Reed Group,2023-01-05"
1373.21,Thomas-Jackson,2023-03-04,"1373.21,Thomas-Jackson,2023-03-04"
87.77,Howard LLC,2023-08-04,"87.77,Howard LLC,2023-08-04"
217.9,Blair and Sons,2023-02-16,"217.9,Blair and Sons,2023-02-16"
29.71,Harris-Price,2023-04-03,"29.71,Harris-Price,2023-04-03"
1000.65,"Johnson, Williams and Herrera",2023-10-13,"1000.65,Johnson, Williams and Herrera,2023-10-13"
148.41,"Allison, Phillips and Williams",2023-07-30,"148.41,Allison, Phillips and Williams,2023-07-30"
112.75,"Burgess, Thompson and Johnson",2023-04-30,"112.75,Burgess, Thompson and Johnson,2023-04-30"
219.22,Smith-Clarke,2023-07-02,"219.22,Smith-Clarke,2023-07-02"
15.07,Wright and Sons,2023-01-31,"15.07,Wright and Sons,2023-01-31"
89.76,Ochoa Inc,2023-09-16,"89.76,Ochoa Inc,2023-09-16"
401.78,"Norton, Thompson and Davis",2023-09-18,"401.78,Norton, Thompson and Davis,2023-09-18"
44.17,"Bird, Paul and Smith",2023-03-05,"44.17,Bird, Paul and Smith,2023-03-05"
187.62,Bailey PLC,2023-06-22,"187.62,Bailey PLC,2023-06-22"
707.83,Rich Group,2023-02-18,"707.83,Rich Group,2023-02-18"
358.77,Dunn Group,2023-05-30,"358.77,Dunn Group,2023-05-30"
61.39,Baker LLC,2023-06-20,"61.39,Baker LLC,2023-06-20"
160.66,"Foster, Miller and Reyes",2023-02-10,"160.66,Foster, Miller and Reyes,2023-02-10"
1364.3,"Carter, Nguyen and Johnson",2023-01-07,"1364.3,Carter, Nguyen and Johnson,2023-01-07"
124.37,"Erickson, Terry and Coleman",2023-03-12,"124.37,Erickson, Terry and Coleman,2023-03-12"
25.51,"Greer, Baker and Caldwell",2023-05-08,"25.51,Greer, Baker and Caldwell,2023-05-08"
238.86,Blackburn-Macias,2023-06-03,"238.86,Blackburn-Macias,2023-06-03"
67.19,"Richard, Kennedy and Daniels",2023-07-06,"67.19,Richard, Kennedy and Daniels,2023-07-06"
526.31,"Mitchell, Hudson and Green",2023-02-16,"526.31,Mitchell, Hudson and Green,2023-02-16"
303.73,Wagner-King,2023-04-09,"303.73,Wagner-King,2023-04-09"
35.54,"Griffin, Sullivan and Morris",2023-06-18,"35.54,Griffin, Sullivan and Morris,2023-06-18"
27.25,"Bell, Fowler and Hines",2023-06-01,"27.25,Bell, Fowler and Hines,2023-06-01"
913.97,"Stephens, Morton and Pena",2023-05-29,"913.97,Stephens, Morton and Pena,2023-05-29"
133.26,"Long, Haynes and Mack",2023-09-11,"133.26,Long, Haynes and Mack,2023-09-11"
62.66,Schroeder and Sons,2023-07-16,"62.66,Schroeder and Sons,2023-07-16"
56.7,"Ryan, Horn and Ellis",2023-01-16,"56.7,Ryan, Horn and Ellis,2023-01-16"
422.05,Costa-Bridges,2023-01-04,"422.05,Costa-Bridges,2023-01-04"
11.97,"Ross, Bowen and Navarro",2023-01-16,"11.97,Ross, Bowen and Navarro,2023-01-16"
27.89,Vasquez Group,2023-06-18,"27.89,Vasquez Group,2023-06-18"
313.09,Butler Group,2023-08-11,"313.09,Butler Group,2023-08-11"
70.37,Hartman PLC,2023-05-28,"70.37,Hartman PLC,2023-05-28"
1233.82,Flowers Group,2023-05-28,"1233.82,Flowers Group,2023-05-28"
92.02,"Day, Wallace and Jackson",2023-09-13,"92.02,Day, Wallace and Jackson,2023-09-13"
2371.51,"Valdez, Crawford and Farrell",2023-09-28,"2371.51,Valdez, Crawford and Farrell,2023-09-28"
44.92,"Boyer, Smith and Small",2023-02-05,"44.92,Boyer, Smith and Small,2023-02-05"
259.21,"Hubbard, Williams and Lamb",2023-10-13,"259.21,Hubbard, Williams and Lamb,2023-10-13"
2660.12,"Oliver, Luna and Williams",2023-03-24,"2660.12,Oliver, Luna and Williams,2023-03-24"
981.36,Trevino LLC,2023-01-16,"981.36,Trevino LLC,2023-01-16"
271.11,"Mcdaniel, Garcia and Cox",2023-06-17,"271.11,Mcdaniel, Garcia and Cox,2023-06-17"
623.7,"Jones, Smith and Reyes",2023-09-10,"623.7,Jones, Smith and Reyes,2023-09-10"
109.87,Bonilla-Lynch,2023-05-28,"109.87,Bonilla-Lynch,2023-05-28"
65.94,Schwartz-Martinez,2023-04-28,"65.94,Schwartz-Martinez,2023-04-28"
350.12,"Roberts, Watson and Trevino",2023-02-22,"350.12,Roberts, Watson and Trevino,2023-02-22"
293.59,Miller-Taylor,2023-07-28,"293.59,Miller-Taylor,2023-07-28"
91.48,"Pierce, Johnson and Coleman",2023-08-02,"91.48,Pierce, Johnson and Coleman,2023-08-02"
89.73,Bond-Mitchell,2023-09-06,"89.73,Bond-Mitchell,2023-09-06"
49.17,Jordan-Morris,2023-08-31,"49.17,Jordan-Morris,2023-08-31"
76.81,Cooley Group,2023-09-14,"76.81,Cooley Group,2023-09-14"
944.83,Johnson and Sons,2023-07-27,"944.83,Johnson and Sons,2023-07-27"
63.7,Manning Inc,2023-06-21,"63.7,Manning Inc,2023-06-21"
159.62,Jordan and Sons,2023-07-04,"159.62,Jordan and Sons,2023-07-04"
31.91,Rivers Group,2023-01-08,"31.91,Rivers Group,2023-01-08"
446.87,Chandler LLC,2023-10-09,"446.87,Chandler LLC,2023-10-09"
199.59,"Mcgrath, Soto and Guzman",2023-04-01,"199.59,Mcgrath, Soto and Guzman,2023-04-01"
1356.24,Morgan-Holmes,2023-01-27,"1356.24,Morgan-Holmes,2023-01-27"
147.36,"Watts, Alvarez and Brown",2023-04-27,"147.36,Watts, Alvarez and Brown,2023-04-27"
512.71,"Lee, Webb and Lee",2023-02-24,"512.71,Lee, Webb and Lee,2023-02-24"
200.69,Wheeler Ltd,2023-08-21,"200.69,Wheeler Ltd,2023-08-21"
368.45,"Perez, Harris and Guzman",2023-04-25,"368.45,Perez, Harris and Guzman,2023-04-25"
441.62,Jones-Tucker,2023-02-10,"441.62,Jones-Tucker,2023-02-10"
254.81,Barton LLC,2023-08-15,"254.81,Barton LLC,2023-08-15"
814.26,Adams Group,2023-08-06,"814.26,Adams Group,2023-08-06"
2389.49,"Gonzalez, Bailey and Miller",2023-02-26,"2389.49,Gonzalez, Bailey and Miller,2023-02-26"
48.29,Schmidt Ltd,2023-02-19,"48.29,Schmidt Ltd,2023-02-19"
951.69,"Holmes, Hudson and Page",2023-01-22,"951.69,Holmes, Hudson and Page,2023-01-22"
70.33,Acevedo LLC,2023-03-23,"70.33,Acevedo LLC,2023-03-23"
138.33,"Glass, Huber and Norman",2023-08-21,"138.33,Glass, Huber and Norman,2023-08-21"
2133.58,"Bailey, Foster and Delgado",2023-01-12,"2133.58,Bailey, Foster and Delgado,2023-01-12"
59.3,Robinson Ltd,2023-08-17,"59.3,Robinson Ltd,2023-08-17"
869.85,"Morrison, Ramos and Goodwin",2023-06-03,"869.85,Morrison, Ramos and Goodwin,2023-06-03"
159.91,Murray-Owens,2023-09-14,"159.91,Murray-Owens,2023-09-14"
63.6,Cummings-Bailey,2023-03-22,"63.6,Cummings-Bailey,2023-03-22"
266.09,Wilson and Sons,2023-02-04,"266.09,Wilson and Sons,2023-02-04"
150.92,Lewis-Lozano,2023-03-06,"150.92,Lewis-Lozano,2023-03-06"
186.91,"Martinez, Curry and Russell",2023-10-07,"186.91,Martinez, Curry and Russell,2023-10-07"
75.31,Gilbert and Sons,2023-01-20,"75.31,Gilbert and Sons,2023-01-20"
721.18,Lee Group,2023-05-16,"721.18,Lee Group,2023-05-16"
31.09,Romero PLC,2023-01-26,"31.09,Romero PLC,2023-01-26"
246.71,"Robinson, Sims and Duarte",2023-07-17,"246.71,Robinson, Sims and Duarte,2023-07-17"
49.19,Patel Group,2023-04-21,"49.19,Patel Group,2023-04-21"
143.69,Jones Inc,2023-02-21,"143.69,Jones Inc,2023-02-21"
31.16,Morris Ltd,2023-08-11,"31.16,Morris Ltd,2023-08-11"
213.73,Mccarty-Hayes,2023-10-12,"213.73,Mccarty-Hayes,2023-10-12"
134.36,"Simon, Mathews and Mccarty",2023-10-11,"134.36,Simon, Mathews and Mccarty,2023-10-11"
43.2,Wells Group,2023-08-24,"43.2,Wells Group,2023-08-24"
325.55,Wilcox-Patterson,2023-08-22,"325.55,Wilcox-Patterson,2023-08-22"
216.2,"Ryan, Arnold and Murphy",2023-01-31,"216.2,Ryan, Arnold and Murphy,2023-01-31"
96.97,"Martin, Thomas and Terry",2023-01-26,"96.97,Martin, Thomas and Terry,2023-01-26"
2779.55,"Myers, Johnson and Smith",2023-03-15,"2779.55,Myers, Johnson and Smith,2023-03-15"
1183.59,Rivas-Watson,2023-05-26,"1183.59,Rivas-Watson,2023-05-26"
838.78,"Parker, White and Mcbride",2023-04-08,"838.78,Parker, White and Mcbride,2023-04-08"
25.9,Williams-Stark,2023-02-23,"25.9,Williams-Stark,2023-02-23"
422.8,Peterson Ltd,2023-01-08,"422.8,Peterson Ltd,2023-01-08"
34.5,Lane Ltd,2023-04-18,"34.5,Lane Ltd,2023-04-18"
397.57,Keith Inc,2023-01-01,"397.57,Keith Inc,2023-01-01"
558.98,Weaver LLC,2023-06-10,"558.98,Weaver LLC,2023-06-10"
738.97,Ponce Ltd,2023-04-17,"738.97,Ponce Ltd,2023-04-17"
533.91,Clark-Mitchell,2023-05-02,"533.91,Clark-Mitchell,2023-05-02"
578.78,"Dawson, Huang and Cook",2023-04-01,"578.78,Dawson, Huang and Cook,2023-04-01"
338.99,Gonzalez-Howard,2023-10-04,"338.99,Gonzalez-Howard,2023-10-04"
1566.58,Armstrong and Sons,2023-04-08,"1566.58,Armstrong and Sons,2023-04-08"
16.99,"Bass, Hamilton and Kim",2023-09-06,"16.99,Bass, Hamilton and Kim,2023-09-06"
169.49,Nichols-Browning,2023-01-25,"169.49,Nichols-Browning,2023-01-25"
398.04,Fox-Marquez,2023-09-19,"398.04,Fox-Marquez,2023-09-19"
1024.62,"Fritz, Byrd and Willis",2023-06-05,"1024.62,Fritz, Byrd and Willis,2023-06-05"
252.17,Gonzales-Davis,2023-01-11,"252.17,Gonzales-Davis,2023-01-11"
31.01,Edwards and Sons,2023-01-24,"31.01,Edwards and Sons,2023-01-24"
168.19,Ryan-George,2023-06-21,"168.19,Ryan-George,2023-06-21"
143.43,Gross and Sons,2023-05-29,"143.43,Gross and Sons,2023-05-29"
1076.46,"Holland, Gonzalez and Stone",2023-06-08,"1076.46,Holland, Gonzalez and Stone,2023-06-08"
68.9,"Johnson, Barton and Lopez",2023-07-25,"68.9,Johnson, Barton and Lopez,2023-07-25"
116.4,Curtis-Dixon,2023-06-25,"116.4,Curtis-Dixon,2023-06-25"
2821.6,"Brown, Ramirez and Moore",2023-08-20,"2821.6,Brown, Ramirez and Moore,2023-08-20"
1034.24,Payne PLC,2023-08-25,"1034.24,Payne PLC,2023-08-25"
83.77,"Lewis, Hunter and Garcia",2023-08-18,"83.77,Lewis, Hunter and Garcia,2023-08-18"
374.01,"Anderson, Foster and Tapia",2023-09-01,"374.01,Anderson, Foster and Tapia,2023-09-01"
41.05,Henry Group,2023-04-10,"41.05,Henry Group,2023-04-10"
26.54,"Reynolds, Chase and Owens",2023-09-10,"26.54,Reynolds, Chase and Owens,2023-09-10"
186.51,Hernandez-Armstrong,2023-01-22,"186.51,Hernandez-Armstrong,2023-01-22"
201.97,"Lindsey, Ramos and Harris",2023-01-27,"201.97,Lindsey, Ramos and Harris,2023-01-27"
605.09,"Russell, Bailey and Johnson",2023-05-08,"605.09,Russell, Bailey and Johnson,2023-05-08"
80.26,"Miranda, Maxwell and King",2023-06-01,"80.26,Miranda, Maxwell and King,2023-06-01"
647.18,"Crane, Rodriguez and Johnson",2023-07-22,"647.18,Crane, Rodriguez and Johnson,2023-07-22"
263.21,Herman Group,2023-09-14,"263.21,Herman Group,2023-09-14"
140.46,Smith and Sons,2023-08-09,"140.46,Smith and Sons,2023-08-09"
766.05,Williams Inc,2023-02-24,"766.05,Williams Inc,2023-02-24"
674.41,Ward-Garcia,2023-01-09,"674.41,Ward-Garcia,2023-01-09"
238.88,"Stewart, Tyler and Huff",2023-01-29,"238.88,Stewart, Tyler and Huff,2023-01-29"
35.42,Schwartz Group,2023-05-26,"35.42,Schwartz Group,2023-05-26"
180.73,"Barrera, Wong and Gregory",2023-07-21,"180.73,Barrera, Wong and Gregory,2023-07-21"
256.4,"Davis, Mercado and Smith",2023-08-27,"256.4,Davis, Mercado and Smith,2023-08-27"
920.17,Young Inc,2023-05-22,"920.17,Young Inc,2023-05-22"
57.31,"Zamora, Ritter and Russell",2023-06-14,"57.31,Zamora, Ritter and Russell,2023-06-14"
403.81,"Nguyen, Shea and Ferguson",2023-07-24,"403.81,Nguyen, Shea and Ferguson,2023-07-24"
262.03,Atkins LLC,2023-01-13,"262.03,Atkins LLC,2023-01-13"
80.81,Taylor-Larson,2023-03-03,"80.81,Taylor-Larson,2023-03-03"
998.88,"Pearson, Hickman and Andrews",2023-02-18,"998.88,Pearson, Hickman and Andrews,2023-02-18"
113.82,"Conner, Baker and Chavez",2023-01-14,"113.82,Conner, Baker and Chavez,2023-01-14"
170.9,"Stein, Baird and Mercer",2023-04-02,"170.9,Stein, Baird and Mercer,2023-04-02"
343.53,Benson Inc,2023-02-14,"343.53,Benson Inc,2023-02-14"
