country,rank,year,passport_info
Liberia,91,2018,"Liberia,91,2018"
St. Lucia,8,2016,"St. Lucia,8,2016"
South Sudan,86,2011,"South Sudan,86,2011"
Tanzania,84,2008,"Tanzania,84,2008"
Ethiopia,93,2015,"Ethiopia,93,2015"
Philippines,86,2021,"Philippines,86,2021"
Taiwan (Chinese Taipei),25,2020,"Taiwan (Chinese Taipei),25,2020"
New Zealand,10,2009,"New Zealand,10,2009"
Dominican Republic,61,2011,"Dominican Republic,61,2011"
Chile,53,2019,"Chile,53,2019"
Mauritania,84,2008,"Mauritania,84,2008"
Vatican City,43,2022,"Vatican City,43,2022"
Macao (SAR China),35,2006,"Macao (SAR China),35,2006"
Togo,85,2020,"Togo,85,2020"
Solomon Islands,47,2007,"Solomon Islands,47,2007"
Chile,26,2011,"Chile,26,2011"
Togo,77,2011,"Togo,77,2011"
Myanmar,81,2020,"Myanmar,81,2020"
Greece,18,2020,"Greece,18,2020"
Cyprus,34,2019,"Cyprus,34,2019"
Ireland,6,2020,"Ireland,6,2020"
Tanzania,78,2006,"Tanzania,78,2006"
Bolivia,70,2011,"Bolivia,70,2011"
Ecuador,70,2016,"Ecuador,70,2016"
Oman,55,2013,"Oman,55,2013"
El Salvador,18,2009,"El Salvador,18,2009"
eSwatini,66,2010,"eSwatini,66,2010"
Bulgaria,23,2010,"Bulgaria,23,2010"
Somalia,103,2018,"Somalia,103,2018"
Georgia,69,2018,"Georgia,69,2018"
Nicaragua,62,2017,"Nicaragua,62,2017"
St. Vincent and the Grenadines,17,2017,"St. Vincent and the Grenadines,17,2017"
Botswana,63,2020,"Botswana,63,2020"
Morocco,83,2011,"Morocco,83,2011"
Laos,93,2021,"Laos,93,2021"
Qatar,34,2015,"Qatar,34,2015"
Moldova,61,2018,"Moldova,61,2018"
Solomon Islands,41,2018,"Solomon Islands,41,2018"
Marshall Islands,54,2015,"Marshall Islands,54,2015"
Andorra,41,2013,"Andorra,41,2013"
Tuvalu,42,2008,"Tuvalu,42,2008"
The Gambia,63,2014,"The Gambia,63,2014"
Greece,3,2012,"Greece,3,2012"
Yemen,97,2006,"Yemen,97,2006"
Georgia,68,2021,"Georgia,68,2021"
Burundi,86,2008,"Burundi,86,2008"
Armenia,70,2016,"Armenia,70,2016"
Nauru,71,2008,"Nauru,71,2008"
Congo (Rep.),97,2009,"Congo (Rep.),97,2009"
Ecuador,50,2007,"Ecuador,50,2007"
Albania,59,2019,"Albania,59,2019"
Barbados,15,2019,"Barbados,15,2019"
San Marino,29,2014,"San Marino,29,2014"
Comoro Islands,83,2008,"Comoro Islands,83,2008"
Somalia,97,2018,"Somalia,97,2018"
Kyrgyzstan,78,2013,"Kyrgyzstan,78,2013"
Niger,82,2015,"Niger,82,2015"
Venezuela,62,2020,"Venezuela,62,2020"
Afghanistan,114,2011,"Afghanistan,114,2011"
Venezuela,60,2016,"Venezuela,60,2016"
Luxembourg,5,2019,"Luxembourg,5,2019"
Greece,10,2018,"Greece,10,2018"
Mauritius,18,2006,"Mauritius,18,2006"
Solomon Islands,54,2017,"Solomon Islands,54,2017"
Cambodia,80,2007,"Cambodia,80,2007"
Papua New Guinea,28,2014,"Papua New Guinea,28,2014"
Burundi,60,2006,"Burundi,60,2006"
Iran,88,2008,"Iran,88,2008"
Oman,65,2014,"Oman,65,2014"
Solomon Islands,47,2017,"Solomon Islands,47,2017"
Senegal,84,2018,"Senegal,84,2018"
Mexico,48,2008,"Mexico,48,2008"
Czech Republic,7,2015,"Czech Republic,7,2015"
Ukraine,56,2014,"Ukraine,56,2014"
Latvia,35,2010,"Latvia,35,2010"
Denmark,10,2016,"Denmark,10,2016"
Finland,3,2017,"Finland,3,2017"
Marshall Islands,30,2018,"Marshall Islands,30,2018"
Togo,87,2009,"Togo,87,2009"
Iran,100,2019,"Iran,100,2019"
Costa Rica,27,2010,"Costa Rica,27,2010"
Sierra Leone,77,2017,"Sierra Leone,77,2017"
Guyana,69,2017,"Guyana,69,2017"
Senegal,75,2012,"Senegal,75,2012"
Uruguay,8,2007,"Uruguay,8,2007"
Israel,41,2022,"Israel,41,2022"
Antigua and Barbuda,27,2016,"Antigua and Barbuda,27,2016"
Bhutan,74,2020,"Bhutan,74,2020"
India,79,2018,"India,79,2018"
New Zealand,14,2019,"New Zealand,14,2019"
Lebanon,92,2009,"Lebanon,92,2009"
Switzerland,15,2021,"Switzerland,15,2021"
Pakistan,103,2007,"Pakistan,103,2007"
Brunei,27,2021,"Brunei,27,2021"
Iran,90,2007,"Iran,90,2007"
Kenya,35,2014,"Kenya,35,2014"
Mexico,30,2019,"Mexico,30,2019"
Mongolia,79,2017,"Mongolia,79,2017"
Croatia,29,2017,"Croatia,29,2017"
Romania,17,2012,"Romania,17,2012"
Turkey,69,2008,"Turkey,69,2008"
Bahamas,22,2008,"Bahamas,22,2008"
Paraguay,52,2022,"Paraguay,52,2022"
Egypt,85,2006,"Egypt,85,2006"
Algeria,82,2012,"Algeria,82,2012"
Luxembourg,4,2012,"Luxembourg,4,2012"
Ireland,4,2009,"Ireland,4,2009"
Estonia,24,2014,"Estonia,24,2014"
Antigua and Barbuda,33,2008,"Antigua and Barbuda,33,2008"
Rwanda,69,2017,"Rwanda,69,2017"
Indonesia,52,2021,"Indonesia,52,2021"
Panama,66,2009,"Panama,66,2009"
Zimbabwe,80,2018,"Zimbabwe,80,2018"
Iran,90,2014,"Iran,90,2014"
Israel,49,2014,"Israel,49,2014"
Uzbekistan,66,2017,"Uzbekistan,66,2017"
Peru,39,2020,"Peru,39,2020"
Brazil,34,2019,"Brazil,34,2019"
Luxembourg,3,2006,"Luxembourg,3,2006"
Grenada,44,2018,"Grenada,44,2018"
Kosovo,102,2022,"Kosovo,102,2022"
Australia,23,2015,"Australia,23,2015"
Andorra,8,2007,"Andorra,8,2007"
Germany,2,2021,"Germany,2,2021"
Serbia,54,2019,"Serbia,54,2019"
Nicaragua,48,2008,"Nicaragua,48,2008"
Mozambique,77,2016,"Mozambique,77,2016"
Cameroon,56,2014,"Cameroon,56,2014"
Philippines,55,2012,"Philippines,55,2012"
Dominican Republic,74,2020,"Dominican Republic,74,2020"
Guatemala,33,2017,"Guatemala,33,2017"
Haiti,82,2009,"Haiti,82,2009"
Lesotho,71,2012,"Lesotho,71,2012"
Belarus,39,2017,"Belarus,39,2017"
Vanuatu,42,2012,"Vanuatu,42,2012"
Iraq,98,2015,"Iraq,98,2015"
Sweden,4,2015,"Sweden,4,2015"
Brazil,19,2012,"Brazil,19,2012"
Ghana,76,2013,"Ghana,76,2013"
Burkina Faso,54,2015,"Burkina Faso,54,2015"
Hong Kong (SAR China),21,2018,"Hong Kong (SAR China),21,2018"
South Korea,3,2021,"South Korea,3,2021"
South Korea,2,2009,"South Korea,2,2009"
Djibouti,86,2020,"Djibouti,86,2020"
Paraguay,29,2007,"Paraguay,29,2007"
St. Lucia,18,2012,"St. Lucia,18,2012"
Israel,29,2010,"Israel,29,2010"
Sweden,3,2006,"Sweden,3,2006"
Benin,64,2020,"Benin,64,2020"
Solomon Islands,38,2018,"Solomon Islands,38,2018"
Grenada,14,2010,"Grenada,14,2010"
Romania,12,2016,"Romania,12,2016"
Thailand,59,2019,"Thailand,59,2019"
St. Lucia,45,2011,"St. Lucia,45,2011"
Armenia,73,2008,"Armenia,73,2008"
Latvia,35,2020,"Latvia,35,2020"
Marshall Islands,42,2013,"Marshall Islands,42,2013"
Pakistan,110,2019,"Pakistan,110,2019"
Benin,75,2006,"Benin,75,2006"
Georgia,45,2017,"Georgia,45,2017"
Slovakia,3,2009,"Slovakia,3,2009"
Guinea,80,2009,"Guinea,80,2009"
Burkina Faso,91,2019,"Burkina Faso,91,2019"
Tajikistan,63,2015,"Tajikistan,63,2015"
Latvia,7,2013,"Latvia,7,2013"
The Gambia,73,2007,"The Gambia,73,2007"
Trinidad and Tobago,29,2010,"Trinidad and Tobago,29,2010"
Bhutan,79,2011,"Bhutan,79,2011"
North Macedonia,21,2007,"North Macedonia,21,2007"
Switzerland,6,2009,"Switzerland,6,2009"
Botswana,63,2018,"Botswana,63,2018"
Pakistan,96,2008,"Pakistan,96,2008"
Zambia,76,2007,"Zambia,76,2007"
Kazakhstan,68,2008,"Kazakhstan,68,2008"
Kosovo,99,2021,"Kosovo,99,2021"
Bangladesh,87,2017,"Bangladesh,87,2017"
Congo (Rep.),94,2016,"Congo (Rep.),94,2016"
Trinidad and Tobago,24,2006,"Trinidad and Tobago,24,2006"
Guinea,90,2020,"Guinea,90,2020"
St. Lucia,54,2016,"St. Lucia,54,2016"
Eritrea,94,2012,"Eritrea,94,2012"
Hong Kong (SAR China),14,2012,"Hong Kong (SAR China),14,2012"
Macao (SAR China),54,2016,"Macao (SAR China),54,2016"
The Gambia,72,2014,"The Gambia,72,2014"
France,3,2019,"France,3,2019"
Kiribati,45,2016,"Kiribati,45,2016"
Bolivia,68,2018,"Bolivia,68,2018"
Iceland,12,2009,"Iceland,12,2009"
South Sudan,90,2009,"South Sudan,90,2009"
Guinea,72,2015,"Guinea,72,2015"
Kenya,58,2010,"Kenya,58,2010"
Paraguay,7,2021,"Paraguay,7,2021"
Belarus,88,2010,"Belarus,88,2010"
Madagascar,67,2014,"Madagascar,67,2014"
Myanmar,90,2010,"Myanmar,90,2010"
Pakistan,103,2021,"Pakistan,103,2021"
Argentina,19,2020,"Argentina,19,2020"
Burundi,88,2021,"Burundi,88,2021"
Cape Verde Islands,46,2009,"Cape Verde Islands,46,2009"
Monaco,7,2008,"Monaco,7,2008"
Samoa,46,2014,"Samoa,46,2014"
Nigeria,82,2008,"Nigeria,82,2008"
Singapore,1,2010,"Singapore,1,2010"
Denmark,5,2021,"Denmark,5,2021"
Liberia,86,2013,"Liberia,86,2013"
Suriname,70,2015,"Suriname,70,2015"
Ecuador,59,2011,"Ecuador,59,2011"
Chile,29,2018,"Chile,29,2018"
Lesotho,70,2016,"Lesotho,70,2016"
Somalia,94,2007,"Somalia,94,2007"
Georgia,77,2021,"Georgia,77,2021"
St. Kitts and Nevis,55,2018,"St. Kitts and Nevis,55,2018"
Nauru,42,2009,"Nauru,42,2009"
Turkey,74,2016,"Turkey,74,2016"
Central African Republic,85,2012,"Central African Republic,85,2012"
Zambia,81,2019,"Zambia,81,2019"
Belgium,21,2017,"Belgium,21,2017"
Ireland,9,2021,"Ireland,9,2021"
Albania,66,2011,"Albania,66,2011"
Congo (Rep.),91,2011,"Congo (Rep.),91,2011"
Fiji,33,2012,"Fiji,33,2012"
Bolivia,52,2020,"Bolivia,52,2020"
Iran,85,2007,"Iran,85,2007"
Vietnam,80,2019,"Vietnam,80,2019"
Congo (Dem. Rep.),95,2011,"Congo (Dem. Rep.),95,2011"
Liechtenstein,44,2013,"Liechtenstein,44,2013"
Azerbaijan,65,2017,"Azerbaijan,65,2017"
Kyrgyzstan,55,2015,"Kyrgyzstan,55,2015"
Gabon,78,2016,"Gabon,78,2016"
Switzerland,9,2021,"Switzerland,9,2021"
Liberia,85,2009,"Liberia,85,2009"
Equatorial Guinea,81,2015,"Equatorial Guinea,81,2015"
Ukraine,60,2019,"Ukraine,60,2019"
Turkey,43,2009,"Turkey,43,2009"
Dominican Republic,66,2007,"Dominican Republic,66,2007"
Sri Lanka,88,2012,"Sri Lanka,88,2012"
Luxembourg,7,2011,"Luxembourg,7,2011"
Canada,24,2013,"Canada,24,2013"
Bahrain,54,2009,"Bahrain,54,2009"
Nicaragua,51,2014,"Nicaragua,51,2014"
Syria,106,2019,"Syria,106,2019"
Kazakhstan,84,2020,"Kazakhstan,84,2020"
Croatia,8,2013,"Croatia,8,2013"
Gabon,83,2020,"Gabon,83,2020"
Cyprus,25,2019,"Cyprus,25,2019"
Luxembourg,3,2014,"Luxembourg,3,2014"
Andorra,25,2018,"Andorra,25,2018"
Vatican City,17,2013,"Vatican City,17,2013"
Italy,2,2013,"Italy,2,2013"
Vatican City,7,2007,"Vatican City,7,2007"
Serbia,58,2017,"Serbia,58,2017"
Estonia,13,2016,"Estonia,13,2016"
Nauru,71,2021,"Nauru,71,2021"
Uganda,45,2013,"Uganda,45,2013"
Nauru,68,2017,"Nauru,68,2017"
Tunisia,40,2010,"Tunisia,40,2010"
Japan,1,2010,"Japan,1,2010"
Israel,7,2006,"Israel,7,2006"
Burundi,94,2019,"Burundi,94,2019"
Japan,2,2013,"Japan,2,2013"
Belarus,39,2009,"Belarus,39,2009"
Antigua and Barbuda,31,2011,"Antigua and Barbuda,31,2011"
Mauritius,37,2006,"Mauritius,37,2006"
Netherlands,18,2020,"Netherlands,18,2020"
Somalia,100,2011,"Somalia,100,2011"
Congo (Dem. Rep.),90,2006,"Congo (Dem. Rep.),90,2006"
Peru,66,2015,"Peru,66,2015"
Venezuela,45,2019,"Venezuela,45,2019"
Sri Lanka,95,2016,"Sri Lanka,95,2016"
Suriname,63,2007,"Suriname,63,2007"
Indonesia,68,2015,"Indonesia,68,2015"
Georgia,57,2011,"Georgia,57,2011"
Tonga,70,2010,"Tonga,70,2010"
Albania,59,2014,"Albania,59,2014"
Syria,106,2012,"Syria,106,2012"
Iceland,28,2019,"Iceland,28,2019"
Romania,17,2017,"Romania,17,2017"
Norway,5,2014,"Norway,5,2014"
Cyprus,13,2007,"Cyprus,13,2007"
Taiwan (Chinese Taipei),55,2020,"Taiwan (Chinese Taipei),55,2020"
Jordan,82,2011,"Jordan,82,2011"
St. Kitts and Nevis,14,2016,"St. Kitts and Nevis,14,2016"
Cambodia,73,2012,"Cambodia,73,2012"
Kenya,67,2020,"Kenya,67,2020"
Lebanon,96,2016,"Lebanon,96,2016"
Portugal,10,2016,"Portugal,10,2016"
Rwanda,77,2014,"Rwanda,77,2014"
Morocco,62,2006,"Morocco,62,2006"
Vietnam,73,2013,"Vietnam,73,2013"
Syria,96,2016,"Syria,96,2016"
Ukraine,30,2017,"Ukraine,30,2017"
Uzbekistan,78,2008,"Uzbekistan,78,2008"
The Gambia,64,2020,"The Gambia,64,2020"
Hungary,5,2015,"Hungary,5,2015"
Rwanda,87,2014,"Rwanda,87,2014"
Zimbabwe,72,2010,"Zimbabwe,72,2010"
United Arab Emirates,19,2019,"United Arab Emirates,19,2019"
Albania,69,2018,"Albania,69,2018"
Ukraine,52,2016,"Ukraine,52,2016"
Mali,67,2014,"Mali,67,2014"
Monaco,14,2020,"Monaco,14,2020"
Costa Rica,19,2011,"Costa Rica,19,2011"
Philippines,66,2011,"Philippines,66,2011"
Sao Tome and Principe,89,2018,"Sao Tome and Principe,89,2018"
Belgium,5,2008,"Belgium,5,2008"
Madagascar,84,2019,"Madagascar,84,2019"
Sierra Leone,68,2016,"Sierra Leone,68,2016"
Bosnia and Herzegovina,58,2013,"Bosnia and Herzegovina,58,2013"
Yemen,104,2016,"Yemen,104,2016"
Taiwan (Chinese Taipei),60,2012,"Taiwan (Chinese Taipei),60,2012"
Trinidad and Tobago,55,2013,"Trinidad and Tobago,55,2013"
St. Kitts and Nevis,19,2016,"St. Kitts and Nevis,19,2016"
Antigua and Barbuda,36,2008,"Antigua and Barbuda,36,2008"
South Sudan,96,2015,"South Sudan,96,2015"
Austria,2,2021,"Austria,2,2021"
Yemen,96,2021,"Yemen,96,2021"
Tunisia,81,2017,"Tunisia,81,2017"
Iceland,4,2022,"Iceland,4,2022"
Pakistan,104,2007,"Pakistan,104,2007"
Cyprus,6,2014,"Cyprus,6,2014"
Paraguay,10,2006,"Paraguay,10,2006"
Austria,6,2021,"Austria,6,2021"
Djibouti,98,2014,"Djibouti,98,2014"
Antigua and Barbuda,14,2021,"Antigua and Barbuda,14,2021"
Switzerland,4,2015,"Switzerland,4,2015"
Denmark,2,2013,"Denmark,2,2013"
China,55,2014,"China,55,2014"
Angola,88,2021,"Angola,88,2021"
Ireland,4,2017,"Ireland,4,2017"
Belgium,16,2007,"Belgium,16,2007"
Sweden,6,2019,"Sweden,6,2019"
Maldives,61,2017,"Maldives,61,2017"
Suriname,75,2020,"Suriname,75,2020"
Syria,105,2017,"Syria,105,2017"
Kazakhstan,76,2021,"Kazakhstan,76,2021"
Bosnia and Herzegovina,61,2014,"Bosnia and Herzegovina,61,2014"
Venezuela,61,2017,"Venezuela,61,2017"
Poland,5,2008,"Poland,5,2008"
Bolivia,75,2016,"Bolivia,75,2016"
Israel,24,2019,"Israel,24,2019"
Vanuatu,47,2008,"Vanuatu,47,2008"
Djibouti,89,2015,"Djibouti,89,2015"
Congo (Rep.),89,2011,"Congo (Rep.),89,2011"
Thailand,73,2015,"Thailand,73,2015"
Brazil,5,2015,"Brazil,5,2015"
Guinea-Bissau,77,2019,"Guinea-Bissau,77,2019"
St. Lucia,54,2014,"St. Lucia,54,2014"
South Sudan,96,2022,"South Sudan,96,2022"
Barbados,50,2013,"Barbados,50,2013"
Montenegro,66,2019,"Montenegro,66,2019"
Yemen,100,2019,"Yemen,100,2019"
Bolivia,55,2013,"Bolivia,55,2013"
El Salvador,52,2017,"El Salvador,52,2017"
Nepal,99,2014,"Nepal,99,2014"
Italy,5,2014,"Italy,5,2014"
El Salvador,41,2015,"El Salvador,41,2015"
Georgia,53,2018,"Georgia,53,2018"
Cambodia,91,2011,"Cambodia,91,2011"
Belgium,7,2008,"Belgium,7,2008"
Colombia,65,2021,"Colombia,65,2021"
Belgium,3,2006,"Belgium,3,2006"
Kosovo,93,2010,"Kosovo,93,2010"
Poland,8,2018,"Poland,8,2018"
Israel,41,2008,"Israel,41,2008"
Mauritania,85,2012,"Mauritania,85,2012"
Sao Tome and Principe,83,2022,"Sao Tome and Principe,83,2022"
Armenia,70,2018,"Armenia,70,2018"
Seychelles,43,2012,"Seychelles,43,2012"
Vietnam,58,2017,"Vietnam,58,2017"
Kazakhstan,57,2008,"Kazakhstan,57,2008"
Maldives,62,2021,"Maldives,62,2021"
Cape Verde Islands,78,2021,"Cape Verde Islands,78,2021"
Gabon,79,2010,"Gabon,79,2010"
Saudi Arabia,68,2016,"Saudi Arabia,68,2016"
Angola,78,2009,"Angola,78,2009"
Bhutan,72,2015,"Bhutan,72,2015"
Hungary,5,2015,"Hungary,5,2015"
Monaco,45,2008,"Monaco,45,2008"
Botswana,68,2006,"Botswana,68,2006"
Kazakhstan,67,2010,"Kazakhstan,67,2010"
United States,15,2012,"United States,15,2012"
Greece,6,2014,"Greece,6,2014"
Uganda,65,2017,"Uganda,65,2017"
Vietnam,83,2009,"Vietnam,83,2009"
Gabon,75,2012,"Gabon,75,2012"
Peru,31,2015,"Peru,31,2015"
Bulgaria,8,2014,"Bulgaria,8,2014"
Mauritius,61,2014,"Mauritius,61,2014"
Tuvalu,37,2020,"Tuvalu,37,2020"
Serbia,64,2017,"Serbia,64,2017"
Latvia,16,2007,"Latvia,16,2007"
Tuvalu,20,2006,"Tuvalu,20,2006"
Hong Kong (SAR China),15,2007,"Hong Kong (SAR China),15,2007"
Chile,14,2015,"Chile,14,2015"
Switzerland,4,2018,"Switzerland,4,2018"
Greece,11,2014,"Greece,11,2014"
eSwatini,43,2014,"eSwatini,43,2014"
Iran,97,2021,"Iran,97,2021"
Nicaragua,69,2021,"Nicaragua,69,2021"
Morocco,79,2008,"Morocco,79,2008"
Brunei,46,2022,"Brunei,46,2022"
Afghanistan,111,2012,"Afghanistan,111,2012"
Mali,75,2007,"Mali,75,2007"
Turkmenistan,82,2016,"Turkmenistan,82,2016"
Macao (SAR China),64,2020,"Macao (SAR China),64,2020"
Lebanon,94,2015,"Lebanon,94,2015"
Panama,34,2012,"Panama,34,2012"
Mauritania,63,2009,"Mauritania,63,2009"
Belgium,3,2017,"Belgium,3,2017"
North Korea,98,2019,"North Korea,98,2019"
Malawi,77,2020,"Malawi,77,2020"
Liechtenstein,22,2019,"Liechtenstein,22,2019"
Guyana,50,2020,"Guyana,50,2020"
Australia,5,2017,"Australia,5,2017"
France,2,2015,"France,2,2015"
Barbados,20,2016,"Barbados,20,2016"
Poland,18,2006,"Poland,18,2006"
Cote d'Ivoire,83,2022,"Cote d'Ivoire,83,2022"
Nauru,66,2011,"Nauru,66,2011"
Kosovo,96,2008,"Kosovo,96,2008"
Vanuatu,53,2012,"Vanuatu,53,2012"
Ghana,86,2009,"Ghana,86,2009"
United States,14,2019,"United States,14,2019"
Palau Islands,43,2012,"Palau Islands,43,2012"
Iraq,107,2009,"Iraq,107,2009"
Australia,17,2018,"Australia,17,2018"
Indonesia,60,2018,"Indonesia,60,2018"
Kuwait,53,2009,"Kuwait,53,2009"
Malta,13,2008,"Malta,13,2008"
Lebanon,90,2007,"Lebanon,90,2007"
Belize,61,2011,"Belize,61,2011"
Kazakhstan,52,2019,"Kazakhstan,52,2019"
Ethiopia,96,2007,"Ethiopia,96,2007"
Sweden,6,2018,"Sweden,6,2018"
Cuba,72,2015,"Cuba,72,2015"
Vatican City,73,2020,"Vatican City,73,2020"
Tuvalu,53,2010,"Tuvalu,53,2010"
Monaco,11,2008,"Monaco,11,2008"
Togo,79,2010,"Togo,79,2010"
Armenia,75,2022,"Armenia,75,2022"
Estonia,6,2007,"Estonia,6,2007"
San Marino,10,2013,"San Marino,10,2013"
Kenya,15,2007,"Kenya,15,2007"
Lebanon,95,2018,"Lebanon,95,2018"
Seychelles,21,2012,"Seychelles,21,2012"
Denmark,4,2008,"Denmark,4,2008"
Dominica,45,2018,"Dominica,45,2018"
Lithuania,26,2022,"Lithuania,26,2022"
Kuwait,77,2022,"Kuwait,77,2022"
Switzerland,7,2019,"Switzerland,7,2019"
Morocco,71,2019,"Morocco,71,2019"
Barbados,44,2007,"Barbados,44,2007"
Mali,71,2008,"Mali,71,2008"
South Africa,51,2010,"South Africa,51,2010"
Nigeria,91,2015,"Nigeria,91,2015"
Nigeria,97,2012,"Nigeria,97,2012"
Nigeria,98,2010,"Nigeria,98,2010"
Cape Verde Islands,39,2006,"Cape Verde Islands,39,2006"
Armenia,68,2012,"Armenia,68,2012"
Romania,16,2006,"Romania,16,2006"
El Salvador,35,2015,"El Salvador,35,2015"
Bahamas,32,2012,"Bahamas,32,2012"
Palestinian Territory,98,2014,"Palestinian Territory,98,2014"
Lebanon,94,2012,"Lebanon,94,2012"
Bahrain,64,2021,"Bahrain,64,2021"
North Macedonia,28,2011,"North Macedonia,28,2011"
St. Lucia,34,2020,"St. Lucia,34,2020"
Samoa,32,2007,"Samoa,32,2007"
Jordan,87,2021,"Jordan,87,2021"
Central African Republic,93,2015,"Central African Republic,93,2015"
Lebanon,102,2007,"Lebanon,102,2007"
Uruguay,22,2007,"Uruguay,22,2007"
Cambodia,89,2016,"Cambodia,89,2016"
Colombia,52,2014,"Colombia,52,2014"
Bhutan,97,2016,"Bhutan,97,2016"
St. Kitts and Nevis,16,2017,"St. Kitts and Nevis,16,2017"
Bahrain,62,2016,"Bahrain,62,2016"
Botswana,67,2019,"Botswana,67,2019"
Chad,81,2020,"Chad,81,2020"
Vanuatu,56,2019,"Vanuatu,56,2019"
El Salvador,51,2020,"El Salvador,51,2020"
Canada,4,2011,"Canada,4,2011"
Romania,21,2020,"Romania,21,2020"
Sri Lanka,87,2007,"Sri Lanka,87,2007"
Belarus,57,2007,"Belarus,57,2007"
Libya,95,2014,"Libya,95,2014"
Lebanon,87,2015,"Lebanon,87,2015"
El Salvador,55,2017,"El Salvador,55,2017"
Trinidad and Tobago,67,2020,"Trinidad and Tobago,67,2020"
Mexico,16,2018,"Mexico,16,2018"
Belgium,3,2008,"Belgium,3,2008"
Bosnia and Herzegovina,56,2006,"Bosnia and Herzegovina,56,2006"
Afghanistan,112,2008,"Afghanistan,112,2008"
Turkey,55,2014,"Turkey,55,2014"
Marshall Islands,65,2017,"Marshall Islands,65,2017"
Pakistan,106,2020,"Pakistan,106,2020"
Guatemala,54,2014,"Guatemala,54,2014"
Vatican City,46,2015,"Vatican City,46,2015"
Syria,103,2019,"Syria,103,2019"
Armenia,62,2007,"Armenia,62,2007"
Nauru,37,2009,"Nauru,37,2009"
Iran,93,2009,"Iran,93,2009"
Tonga,48,2007,"Tonga,48,2007"
Egypt,88,2012,"Egypt,88,2012"
Somalia,95,2009,"Somalia,95,2009"
Djibouti,82,2014,"Djibouti,82,2014"
St. Vincent and the Grenadines,41,2015,"St. Vincent and the Grenadines,41,2015"
Bhutan,82,2016,"Bhutan,82,2016"
Mongolia,75,2006,"Mongolia,75,2006"
Dominican Republic,62,2009,"Dominican Republic,62,2009"
Solomon Islands,34,2010,"Solomon Islands,34,2010"
Uruguay,30,2021,"Uruguay,30,2021"
Belarus,71,2012,"Belarus,71,2012"
Haiti,83,2008,"Haiti,83,2008"
Maldives,74,2019,"Maldives,74,2019"
Bhutan,92,2020,"Bhutan,92,2020"
Kenya,78,2007,"Kenya,78,2007"
Thailand,32,2016,"Thailand,32,2016"
Bhutan,80,2017,"Bhutan,80,2017"
Kyrgyzstan,86,2014,"Kyrgyzstan,86,2014"
Kuwait,54,2019,"Kuwait,54,2019"
Morocco,87,2014,"Morocco,87,2014"
Nigeria,82,2007,"Nigeria,82,2007"
Armenia,79,2014,"Armenia,79,2014"
Vietnam,78,2013,"Vietnam,78,2013"
Russian Federation,63,2015,"Russian Federation,63,2015"
Jordan,82,2010,"Jordan,82,2010"
Uzbekistan,83,2013,"Uzbekistan,83,2013"
Kosovo,92,2021,"Kosovo,92,2021"
Botswana,76,2016,"Botswana,76,2016"
Suriname,68,2015,"Suriname,68,2015"
Albania,42,2014,"Albania,42,2014"
China,42,2010,"China,42,2010"
Trinidad and Tobago,23,2020,"Trinidad and Tobago,23,2020"
Ireland,4,2013,"Ireland,4,2013"
Sierra Leone,65,2022,"Sierra Leone,65,2022"
Qatar,38,2007,"Qatar,38,2007"
Azerbaijan,76,2007,"Azerbaijan,76,2007"
Tonga,68,2013,"Tonga,68,2013"
Mexico,48,2007,"Mexico,48,2007"
Montenegro,49,2009,"Montenegro,49,2009"
Niger,87,2007,"Niger,87,2007"
Armenia,74,2013,"Armenia,74,2013"
Bahrain,56,2011,"Bahrain,56,2011"
Cote d'Ivoire,92,2021,"Cote d'Ivoire,92,2021"
Mauritius,26,2021,"Mauritius,26,2021"
Bahamas,12,2008,"Bahamas,12,2008"
Djibouti,97,2022,"Djibouti,97,2022"
Mozambique,79,2017,"Mozambique,79,2017"
Barbados,43,2013,"Barbados,43,2013"
Nigeria,90,2014,"Nigeria,90,2014"
Dominica,18,2014,"Dominica,18,2014"
Yemen,107,2020,"Yemen,107,2020"
Czech Republic,4,2016,"Czech Republic,4,2016"
Mauritania,86,2017,"Mauritania,86,2017"
Colombia,32,2012,"Colombia,32,2012"
Czech Republic,9,2010,"Czech Republic,9,2010"
The Gambia,35,2010,"The Gambia,35,2010"
St. Kitts and Nevis,52,2014,"St. Kitts and Nevis,52,2014"
Czech Republic,12,2016,"Czech Republic,12,2016"
Japan,1,2006,"Japan,1,2006"
Chile,21,2011,"Chile,21,2011"
Burundi,81,2013,"Burundi,81,2013"
Liberia,83,2014,"Liberia,83,2014"
Mali,73,2007,"Mali,73,2007"
Macao (SAR China),16,2020,"Macao (SAR China),16,2020"
Bahamas,45,2011,"Bahamas,45,2011"
St. Kitts and Nevis,11,2007,"St. Kitts and Nevis,11,2007"
Cameroon,97,2016,"Cameroon,97,2016"
St. Vincent and the Grenadines,27,2015,"St. Vincent and the Grenadines,27,2015"
Nauru,58,2013,"Nauru,58,2013"
Tunisia,67,2021,"Tunisia,67,2021"
Somalia,98,2015,"Somalia,98,2015"
Kuwait,71,2016,"Kuwait,71,2016"
Benin,58,2010,"Benin,58,2010"
Ethiopia,81,2009,"Ethiopia,81,2009"
Bolivia,59,2020,"Bolivia,59,2020"
Yemen,105,2019,"Yemen,105,2019"
Niger,94,2013,"Niger,94,2013"
Latvia,14,2016,"Latvia,14,2016"
Colombia,52,2015,"Colombia,52,2015"
